Name,Energy (kcal),Protein,Carbohydrate,Fiber,Fat,Cholesterol,has_protein,has_carbs,has_fiber,has_cholesterol
"Milk, NFS",52,3.33,4.83,0,2.14,9,Low,Low,Low,Low
"Milk, whole",61,3.27,4.63,0,3.2,12,Low,Low,Low,Low
"Milk, reduced fat (2%)",50,3.36,4.9,0,1.9,8,Low,Low,Low,Low
"Milk, low fat (1%)",43,3.38,5.18,0,0.95,5,Low,Low,Low,Low
"Milk, fat free (skim)",34,3.43,4.92,0,0.08,3,Low,Low,Low,Low
"Milk, lactose free, low fat (1%)",43,3.38,5.18,0,0.95,5,Low,Low,Low,Low
"Milk, lactose free, fat free (skim)",34,3.43,4.92,0,0.08,3,Low,Low,Low,Low
"Milk, lactose free, reduced fat (2%)",50,3.36,4.9,0,1.9,8,Low,Low,Low,Low
"Milk, lactose free, whole",61,3.27,4.63,0,3.2,12,Low,Low,Low,Low
Buttermilk,43,3.46,4.81,0,1.08,5,Low,Low,Low,Low
Kefir,52,3.59,7.48,0,0.96,5,Low,Low,Low,Low
Goat milk,69,3.56,4.45,0,4.14,11,Low,Low,Low,Low
"Milk, dry, reconstituted, nonfat",32,3.2,4.6,0,0.07,2,Low,Low,Low,Low
"Milk, dry, reconstituted, whole",76,4.01,5.86,0,4.08,15,Low,Low,Low,Low
"Milk, evaporated, NS as to fat content",134,6.81,10.04,0,7.56,29,Low,Low,Low,Medium
"Milk, evaporated, whole",134,6.81,10.04,0,7.56,29,Low,Low,Low,Medium
"Milk, evaporated, reduced fat (2%)",92,7.42,11.15,0,1.96,8,Low,Low,Low,Low
"Milk, evaporated, fat free (skim)",78,7.55,11.35,0,0.2,4,Low,Low,Low,Low
"Milk, condensed, sweetened",321,7.91,54.4,0,8.7,34,Low,Medium,Low,Medium
"Non-dairy milk, NFS",31,1.14,3.04,0.1,1.6,0,Low,Low,Low,Low
"Soy milk, sweetened",53,3.41,5.22,0,2.05,0,Low,Low,Low,Low
"Soy milk, unsweetened",38,3.55,1.29,0,2.12,0,Low,Low,Low,Low
"Soy milk, chocolate",64,3.35,8.32,0.1,2.03,0,Low,Low,Low,Low
"Almond milk, sweetened",30,0.53,4.31,0,1.18,0,Low,Low,Low,Low
"Almond milk, chocolate",43,0.57,7.44,0.1,1.2,0,Low,Low,Low,Low
"Almond milk, unsweetened",15,0.55,0.34,0,1.22,0,Low,Low,Low,Low
"Almond milk, NFS",20,0.54,1.53,0,1.21,0,Low,Low,Low,Low
Rice milk,47,0.28,9.17,0.3,0.97,0,Low,Low,Low,Low
Oat milk,45,0.66,5.37,0.5,2.33,0,Low,Low,Low,Low
Coconut milk,31,0.21,2.92,0,2.08,0,Low,Low,Low,Low
"Yogurt, NFS",94,6.67,10.22,0.1,2.87,11,Low,Low,Low,Low
"Yogurt, Greek, NS as to type of milk or flavor",91,9.11,10.78,0.1,1.33,7,Low,Low,Low,Low
"Yogurt, NS as to type of milk or flavor",93,4.57,15.69,0.2,1.34,5,Low,Low,Low,Low
"Yogurt, NS as to type of milk, plain",63,5.25,7.04,0,1.55,6,Low,Low,Low,Low
"Yogurt, whole milk, plain",78,3.82,5.57,0,4.48,14,Low,Low,Low,Low
"Yogurt, low fat milk, plain",63,5.25,7.04,0,1.55,6,Low,Low,Low,Low
"Yogurt, nonfat milk, plain",50,4.23,8.08,0,0.09,3,Low,Low,Low,Low
"Yogurt, Greek, NS as to type of milk, plain",67,10.2,3.6,0,1.36,8,Low,Low,Low,Low
"Yogurt, Greek, whole milk, plain",94,8.78,4.75,0,4.39,17,Low,Low,Low,Low
"Yogurt, Greek, low fat milk, plain",67,10.2,3.6,0,1.36,8,Low,Low,Low,Low
"Yogurt, Greek, nonfat milk, plain",59,10.3,3.64,0,0.37,5,Low,Low,Low,Low
"Yogurt, NS as to type of milk, fruit",93,4.57,15.69,0.2,1.34,5,Low,Low,Low,Low
"Yogurt, whole milk, fruit",106,3.34,14.43,0.2,3.86,12,Low,Low,Low,Low
"Yogurt, low fat milk, fruit",93,4.57,15.69,0.2,1.34,5,Low,Low,Low,Low
"Yogurt, nonfat milk, fruit",46,3.64,7.64,0,0.08,3,Low,Low,Low,Low
"Yogurt, Greek, NS as to type of milk, fruit",91,9.11,10.78,0.1,1.33,7,Low,Low,Low,Low
"Yogurt, Greek, whole milk, fruit",114,7.85,11.8,0.1,3.91,15,Low,Low,Low,Low
"Yogurt, Greek, low fat milk, fruit",91,9.11,10.78,0.1,1.33,7,Low,Low,Low,Low
"Yogurt, Greek, nonfat milk, fruit",83,9.21,10.81,0.1,0.34,4,Low,Low,Low,Low
"Yogurt, NS as to type of milk, flavors other than fruit",82,4.51,13.02,0,1.36,5,Low,Low,Low,Low
"Yogurt, whole milk, flavors other than fruit",95,3.28,11.76,0,3.88,12,Low,Low,Low,Low
"Yogurt, low fat milk, flavors other than fruit",82,4.51,13.02,0,1.36,5,Low,Low,Low,Low
"Yogurt, nonfat milk, flavors other than fruit",47,3.64,7.94,0,0.08,3,Low,Low,Low,Low
"Yogurt, Greek, NS as to type of milk, flavors other than fruit",81,9.07,8.18,0,1.34,7,Low,Low,Low,Low
"Yogurt, Greek, whole milk, flavors other than fruit",104,7.81,9.21,0,3.92,15,Low,Low,Low,Low
"Yogurt, Greek, low fat milk, flavors other than fruit",81,9.07,8.18,0,1.34,7,Low,Low,Low,Low
"Yogurt, Greek, nonfat milk, flavors other than fruit",73,9.17,8.22,0,0.34,4,Low,Low,Low,Low
"Yogurt, Greek, with oats",149,9.22,20.02,1.5,3.67,6,Low,Medium,Low,Low
"Yogurt, liquid",74,3.65,12.55,0.1,1.07,4,Low,Low,Low,Low
Yogurt tube,81,4.34,13.68,0.1,1.03,5,Low,Low,Low,Low
"Chipotle dip, yogurt based",189,7.93,3.33,0,15.99,16,Low,Low,Low,Low
"Onion dip, yogurt based",160,6.82,4.06,0.2,12.91,14,Low,Low,Low,Low
"Ranch dip, yogurt based",195,8.48,4.13,0.3,16.09,17,Low,Low,Low,Low
"Spinach dip, yogurt based",159,7.02,3.59,0.3,12.96,14,Low,Low,Low,Low
Tzatziki dip,91,5.22,4.1,0.2,6,10,Low,Low,Low,Low
"Vegetable dip, yogurt based",191,8.16,3.76,0.3,16.03,16,Low,Low,Low,Low
"Yogurt parfait, with fruit",104,5.25,16.08,1.3,2.18,4,Low,Low,Low,Low
"Frozen yogurt, NFS",127,3,21.6,0,3.6,13,Low,Medium,Low,Low
"Frozen yogurt, vanilla",127,3,21.6,0,3.6,13,Low,Medium,Low,Low
"Frozen yogurt, chocolate",131,3,21.6,2.3,3.6,13,Low,Medium,Low,Low
"Frozen yogurt, soft serve, vanilla",159,4,24.2,0,5.6,2,Low,Medium,Low,Low
"Frozen yogurt, soft serve, chocolate",160,4.31,24.87,0.7,5.76,2,Low,Medium,Low,Low
